municipality_code,municipality,mean_priority_score,mean_priority_rank,top_quartile_frequency,priority_stability_profile,female_population_2022,selected_vaw_records_2022_2025,mean_annual_selected_vaw_rate_per_100k_women,rate_2022,rate_2023,rate_2024,rate_2025,rate_linear_slope_per_year,rate_cv,years_at_or_above_state_median,contextual_pattern
1503804,Jacundá,0.3758049610322339,106.875,0.0,intermediate_or_scenario_sensitive,19203,314,408.7902931833568,463.4692495964173,406.1865333541634,369.7338957454565,395.77149403739,-23.95459042857856,0.08377672890424144,4,other_priority_higher_observed_rate
1503077,Garrafão do Norte,0.3748984601257328,107.04166666666669,0.0,intermediate_or_scenario_sensitive,12009,172,358.0647847447747,241.48555250228992,358.0647847447748,374.71896077941545,457.98984095261886,66.61670413856386,0.2156655464068769,2,other_priority_higher_observed_rate
1507300,São Félix do Xingu,0.3738320979894014,107.22916666666669,0.0,intermediate_or_scenario_sensitive,30588,613,501.01346933437947,411.9262455865045,523.0809467765137,477.3113639335688,591.7353210409311,49.365764352034184,0.13094339330199325,4,other_priority_higher_observed_rate
1507706,São Sebastião da Boa Vista,0.3666913894186621,107.64583333333331,0.0,intermediate_or_scenario_sensitive,12314,189,383.7095988305993,227.3834659736885,438.5252558063992,438.5252558063992,430.4044177359104,60.90628552866494,0.23537541184693359,3,other_priority_higher_observed_rate
1502756,Concórdia do Pará,0.3694108921381651,107.95833333333331,0.0,intermediate_or_scenario_sensitive,13331,247,463.2060610606856,397.5695746755682,510.0892656214838,487.58532743230063,457.5800765133899,15.752756732426402,0.0911605688194146,4,other_priority_higher_observed_rate
1506500,Santa Izabel do Pará,0.3809181559181558,108.6875,0.0,intermediate_or_scenario_sensitive,33377,420,314.5878898642778,308.59573958114873,293.6153638733259,317.58396500584234,338.5564909967942,11.38508553794624,0.051727526148572456,0,other_priority_lower_observed_rate
1503507,Irituia,0.3694444444444444,110.39583333333331,0.0,intermediate_or_scenario_sensitive,15044,137,227.66551449082692,259.2395639457591,252.5923956394576,159.53203935123636,239.29805902685456,-15.288487104493475,0.17563809365716734,0,other_priority_lower_observed_rate
1503705,Itupiranga,0.357027442254715,113.0625,0.0,robust_lower_relative_priority,23706,308,324.8122838100059,345.9039905509154,413.3974521218257,278.41052898000504,261.5371635872775,-38.8087404032766,0.18503645258149362,2,other_priority_lower_observed_rate
1503457,Ipixuna do Pará,0.3477649454922182,115.22916666666669,0.0,robust_lower_relative_priority,14692,268,456.03049278518915,387.9662401306833,442.417642254288,449.2240675197386,544.5140212360468,47.644976858155694,0.1235294429645288,4,other_priority_higher_observed_rate
1502509,Chaves,0.3421052011961102,115.64583333333331,0.0,robust_lower_relative_priority,9639,120,311.2356053532524,145.24328249818447,529.1005291005291,321.61012553169417,248.98848428260197,10.374520178434057,0.45154057280480225,1,other_priority_lower_observed_rate
1506302,Salvaterra,0.3456696922606013,116.02083333333331,0.0,robust_lower_relative_priority,12078,280,579.5661533366451,471.93243914555393,703.758900480212,579.5661533366451,563.0071203841695,14.903129657223886,0.14249955245185716,4,other_priority_higher_observed_rate
1507607,São Miguel do Guamá,0.3403069153069153,116.25,0.0,robust_lower_relative_priority,26713,459,429.56612885112116,437.9889941227117,557.7808557631116,329.42761951109946,393.0670460075619,-36.31190805974969,0.19431548300901816,3,other_priority_higher_observed_rate
1501204,Baião,0.3365899209744972,117.16666666666669,0.0,robust_lower_relative_priority,25724,276,268.23200124397454,268.23200124397454,279.8942621676256,252.68232001243976,272.1194215518582,-1.5549681231536523,0.036949416765165104,0,other_priority_lower_observed_rate
1506138,Redenção,0.3363539470025682,117.6875,0.0,robust_lower_relative_priority,43371,813,468.6311129556616,419.63524013741903,440.38643333102766,468.0546909225058,546.448087431694,40.81067994743223,0.1026378750248384,4,other_priority_higher_observed_rate
1500602,Altamira,0.315430631582317,118.79166666666669,0.0,robust_lower_relative_priority,63337,1115,440.10609912057726,415.239117735289,492.60305982285234,424.7122535011131,427.86996542305445,-2.999826325845954,0.06967288110996214,4,other_priority_higher_observed_rate
1502400,Castanhal,0.3094154960727994,120.85416666666669,0.0,robust_lower_relative_priority,99750,1621,406.265664160401,443.10776942355886,413.0325814536341,391.9799498746867,376.9423558897243,-21.954887218045553,0.06112946785285776,4,other_priority_higher_observed_rate
1505908,Porto de Moz,0.3162616381462141,120.875,0.0,robust_lower_relative_priority,19479,228,292.62282458031723,338.82642846142,318.2914934031521,266.9541557574824,246.4192206992145,-32.85589609322977,0.12772122612772846,1,other_priority_lower_observed_rate
1505536,Parauapebas,0.3028691190208044,122.47916666666669,0.0,robust_lower_relative_priority,133914,2066,385.69529698164496,443.5682602267127,422.65931866720433,339.02355242917093,337.5300566034918,-40.17503771077091,0.12443545206971998,2,other_priority_higher_observed_rate
1505700,Ponta de Pedras,0.3105719196628289,122.89583333333331,0.0,robust_lower_relative_priority,12142,252,518.8601548344589,543.5677812551473,543.5677812551473,543.5677812551473,444.7372755723934,-29.649151704828117,0.08247860988423214,4,other_priority_higher_observed_rate
1507201,São Domingos do Capim,0.3022456499729227,124.5625,0.0,robust_lower_relative_priority,14584,155,265.70213933077343,239.98902907295667,253.7026878771256,281.1300054854635,287.986834887548,17.142073505211705,0.07384208478877162,0,other_priority_lower_observed_rate
1508100,Tucuruí,0.2905379784593268,126.22916666666669,0.0,robust_lower_relative_priority,46135,828,448.683212311694,442.1805570607999,448.6832123116939,429.1752465590116,474.6938333152704,7.803186301073446,0.03694941676516509,4,other_priority_higher_observed_rate
1501709,Bragança,0.2754281870854904,127.72916666666669,0.0,robust_lower_relative_priority,61501,660,268.2883205151135,276.41826962163213,289.4261881920619,260.158371408595,247.15045283816525,-11.70712671338761,0.05969004728361269,0,other_priority_lower_observed_rate
1506807,Santarém,0.2711253997770851,127.95833333333331,0.0,robust_lower_relative_priority,168862,2032,300.8373701602492,294.3231751370941,324.52535206263104,278.92598690054604,305.5749665407256,-1.1843990951195282,0.055276067252358195,0,other_priority_lower_observed_rate
1506161,Rio Maria,0.2443437412283173,131.02083333333334,0.0,robust_lower_relative_priority,9063,143,394.4609952554342,507.5582036853139,264.812975835816,331.01621979476994,474.45658170583687,-3.3101621979420517,0.253586914188374,2,other_priority_higher_observed_rate
1502152,Canaã dos Carajás,0.2290789134634895,132.58333333333334,0.0,robust_lower_relative_priority,37692,843,559.137217446673,437.7586755810252,565.1066539318689,573.0659025787966,660.6176376950016,67.65361349888664,0.14212616048196336,4,other_priority_higher_observed_rate
1507904,Soure,0.2190161647643772,133.6875,0.0,robust_lower_relative_priority,12264,432,880.6262230919765,905.0880626223092,880.6262230919765,864.3183300717546,872.4722765818656,-11.4155251141552,0.01732248790173123,4,other_priority_higher_observed_rate
1500800,Ananindeua,0.2087789447340009,134.47916666666666,0.0,robust_lower_relative_priority,251474,3049,303.1128466561155,336.0188329608627,341.9836643151976,265.6338229797116,268.8150663686902,-27.79611411120164,0.11866174756473905,1,other_priority_lower_observed_rate
1508407,Xinguara,0.2100795480008963,134.77083333333334,0.0,robust_lower_relative_priority,26303,517,491.3888149640725,387.7884651940843,517.0512869254458,402.99585598600913,657.7196517507508,69.57381287305843,0.22029071198116565,4,other_priority_higher_observed_rate
1501808,Breves,0.20631433173568,134.79166666666666,0.0,robust_lower_relative_priority,51690,761,368.0595859934224,321.14528922422136,355.9682723931128,398.5296962662024,396.5950860901529,26.89108144708889,0.08687718620796635,2,other_priority_higher_observed_rate
1505502,Paragominas,0.2072301813874847,135.10416666666666,0.0,robust_lower_relative_priority,53089,858,404.0385013844676,320.2169941042401,474.6746030251088,414.3984629584283,406.8639454500933,19.96647139708567,0.13629887091882253,3,other_priority_higher_observed_rate
1501402,Belém,0.1880989380989381,136.9375,0.0,robust_lower_relative_priority,692626,9098,328.3879034284015,350.4055579778986,363.8327178015264,304.6377121274685,294.6756258067124,-22.638480218762954,0.08932426199295414,1,other_priority_lower_observed_rate
1500107,Abaetetuba,0.1619743604294166,139.125,0.0,robust_lower_relative_priority,78891,1201,380.58840678911406,310.55506965306563,408.1580915440291,381.53908557376633,422.1013803855953,30.801992622732282,0.11292936566674537,3,other_priority_higher_observed_rate
1503606,Itaituba,0.1473570333120894,140.35416666666666,0.0,robust_lower_relative_priority,61026,1273,521.4990331989643,471.9299970504375,550.5849965588437,493.2323927506308,570.2487464359453,23.760364434831022,0.07717164434883986,4,other_priority_higher_observed_rate
1504208,Marabá,0.1461203070753632,140.66666666666666,0.0,robust_lower_relative_priority,133761,2065,385.94956676460254,399.2195034427076,369.31542078782303,391.74348277898633,383.5198600488932,-2.467086819027537,0.028743276032448882,4,other_priority_higher_observed_rate
1501303,Barcarena,0.1385510245060806,141.1875,0.0,robust_lower_relative_priority,63256,1063,420.11824965220694,409.447325154926,425.25610218793474,456.8736562539522,388.89591501201465,-3.0036676362725254,0.05910174430666071,4,other_priority_higher_observed_rate
1502103,Cametá,0.1234597851170884,142.625,0.0,robust_lower_relative_priority,65344,784,299.9510284035259,273.9348677766895,350.4529872673849,290.7688540646425,284.6474045053869,-2.7546523016667206,0.0992605941752231,0,other_priority_lower_observed_rate
1502202,Capanema,0.1061067677640711,143.22916666666666,0.0,robust_lower_relative_priority,36044,420,291.310620352902,230.27410942181777,327.3776495394518,357.8959050049939,249.69481744534457,8.878037953609992,0.18157786633273926,0,other_priority_lower_observed_rate
